country,iso3c,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,7.8684,11.5231,9.8844,8.4287,7.9588,8.4272,7.6117,10.3972,11.8099,12.1046,12.1436,12.4864,11.298,11.6486
Albania,ALB,4.567,5.0007,4.5385,4.7703,5.1022,4.8756,4.5382,5.3613,5.3341,4.984,4.5676,5.1122,4.5239,4.2226
Algeria,DZA,118.6168,124.8035,140.2699,145.7286,155.033,164.5785,160.7458,166.3203,174.8053,181.6864,171.9505,181.3215,189.1886,190.5786
American Samoa,ASM,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4,1e-4
Andorra,AND,,,,,,,,,,,,,,
Angola,AGO,22.7399,23.6501,24.7162,28.534300000000002,30.8873,33.0865,31.2748,27.9951,25.8142,26.9963,20.538,25.5641,26.6839,27.336
Antigua and Barbuda,ATG,0.2789,0.2128,0.2268,0.2598,0.2797,0.291,0.3149,0.2772,0.2872,0.3426,0.326,0.3315,0.343,0.3441
Argentina,ARG,177.3162,184.8342,188.8365,193.179,190.0264,196.1938,194.1404,191.3736,189.8171,183.2687,168.1154,185.676,195.0411,189.8908
Armenia,ARM,4.2991,4.9041,5.6696,5.4929,5.7607,5.6172,5.3749,5.6892,5.9516,6.4247,6.9145,7.4634,7.7742000000000004,7.4987
Aruba,ABW,0.4828,0.2907,0.3754,0.4128,0.4411,0.4625,0.4854,0.4671,0.4653,0.5095,0.4887,0.5074,0.5355,0.5371
Australia,AUS,415.3195,412.862,413.3728,405.7424,396.4423,400.6316,408.6132,411.2113,409.2476,407.9086,392.5458,384.7347,378.0651,377.4957
Austria,AUT,73.7998,72.1872,69.0207,69.6088,65.9262,67.3632,67.7745,70.0851,67.2508,68.7767,62.9162,66.2034,62.6472,58.4761
Azerbaijan,AZE,26.6362,29.4692,32.2811,33.2118,34.7247,34.5229,34.4155,34.226,34.7625,36.9819,35.4067,37.4242,39.6836,41.7458
"Bahamas, The",BHS,1.283,0.8542,1.0171,1.0911,1.1363,1.1204,1.2455,1.3738,1.2106,1.4505,1.1733,1.4488,1.4055,1.4098
Bahrain,BHR,28.8353,29.0035,30.2164,32.1308,33.2899,33.4691,33.4571,33.7521,33.822,36.8474,36.8402,37.3578,38.8307,38.689
Bangladesh,BGD,60.7693,65.3074,69.872,72.0796,76.6542,85.4452,93.9921,101.0415,105.1823,109.3222,104.1229,117.7683,120.8657,118.9891
Barbados,BRB,0.8204,0.6789,0.6436,0.7307,0.667,0.7195,0.7728,0.6819,0.7782,0.8686,0.6726,0.6515,0.6889,0.6906
Belarus,BLR,66.1204,62.961,64.269,64.4295,63.9709,59.1683,59.0629,60.2218,63.4486,61.2475,58.1601,58.6423,55.8945,53.8204
Belgium,BEL,114.9031,104.4948,103.0142,104.3595,97.7801,102.4165,101.3516,99.7694,100.4585,100.3135,91.9274,96.0214,89.6767,85.7301
Belize,BLZ,0.2333,0.15,0.1629,0.2057,0.2045,0.2472,0.2608,0.2847,0.2846,0.3982,0.3186,0.3361,0.3545,0.3756
Benin,BEN,5.0815,4.9611,4.7249,4.9707,5.4598,5.8104,7.1473,7.2445,8.251,8.1435,8.7059,6.7467,7.0594,6.8922
Bermuda,BMU,0.309,0.1534,0.1777,0.198,0.272,0.2307,0.3117,0.2853,0.3009,0.3025,0.2142,0.2447,0.2575,0.2583
Bhutan,BTN,0.905,1.1062,1.0551,1.1068,1.1293,1.3096,1.4244,1.4736,1.7505,1.8063,1.4131,1.5445,1.5172,1.5607
Bolivia,BOL,14.7927,16.0948,17.0414,18.1017,19.463,19.9523,21.3607,21.7833,21.9655,21.9997,18.5659,21.8696,23.3823,24.4241
Bosnia and Herzegovina,BIH,22.2176,25.2681,23.3108,23.2132,20.7957,20.8309,23.5062,23.9898,24.0642,22.5975,22.5364,23.0097,22.3986,20.8288
Botswana,BWA,3.3822,4.0133,3.5247,5.5218,7.1481,7.091,6.7524,7.4408,8.2088,7.342,6.0919,6.5464,6.8377,6.7207
Brazil,BRA,439.9219,463.643,497.9036,523.4755,546.4394,517.9408,482.7112,494.7579,471.0836,468.5794,447.921,506.2334,479.2664,480.235
British Virgin Islands,VGB,0.0705,0.0552,0.0571,0.0654,0.07,0.0717,0.0772,0.0671,0.0665,0.0874,0.0846,0.0845,0.0884,0.0887
Brunei Darussalam,BRN,7.3795,7.8612,7.6224,7.7892,8.1068,7.3653,7.8994,7.8716,8.0303,7.6035,10.1279,9.9862,9.5371,9.7036
Bulgaria,BGR,49.5094,54.7842,49.9165,44.452,47.315,49.8572,47.1301,49.2832,46.3135,44.6358,39.4151,45.8711,49.4431,36.9706
Burkina Faso,BFA,1.9623,2.2171,2.5815,3.0405,2.7537,3.9361,3.9314,4.5408,5.412,5.6993,5.7011,6.4371,6.4885,6.2637
Burundi,BDI,0.3199,0.4154,0.3993,0.4522,0.4055,0.435,0.4859,0.5463,0.7765,0.7652,0.9258,0.8974,0.9301,0.9495
Cabo Verde,CPV,0.7498,0.8717,0.748,0.7315,0.7741,0.7908,0.8304,0.8881,0.7961,0.8379,0.6283,0.6479,0.6801,0.6508
Cambodia,KHM,5.1593,5.3651,5.6329,5.6951,7.0334,8.5196,10.5961,11.828,12.3125,15.7108,18.6332,18.4826,18.3849,18.9162
Cameroon,CMR,7.828,7.4295,7.5111,8.1791,8.8705,9.1854,9.7014,9.8633,10.548400000000001,10.2711,10.388,10.3491,10.4339,10.3329
Canada,CAN,562.1099,575.7827,567.184,575.2149,580.3198,574.3793,574.0983,591.893,612.5836,609.0758,548.4454,561.7344,575.8352,567.0969
Cayman Islands,CYM,0.2472,0.1996,0.191,0.2167,0.2321,0.2509,0.2632,0.281,0.3092,0.3935,0.3319,0.3141,0.3582,0.3594
Central African Republic,CAF,0.1999,0.2175,0.2211,0.1488,0.1617,0.2334,0.2515,0.2647,0.2935,0.3024,0.3184,0.3227,0.3225,0.3325
Chad,TCD,0.5246,0.6836,1.2091,1.3153,1.4041,1.6134,1.6907,2.2104,2.4139,2.3645,2.4133,2.7311,2.865,2.9088
